hour,day,weekday,day_night,8_8_8
1,1,1,1,1
2,1,1,1,1
3,1,1,1,1
4,1,1,1,1
5,1,1,1,1
6,1,1,1,1
7,1,1,1,1
8,1,1,1,1
9,1,1,1,2
10,1,1,1,2
11,1,1,1,2
12,1,1,1,2
13,1,1,2,2
14,1,1,2,2
15,1,1,2,2
16,1,1,2,2
17,1,1,2,3
18,1,1,2,3
19,1,1,2,3
20,1,1,2,3
21,1,1,2,3
22,1,1,2,3
23,1,1,2,3
24,1,1,2,3
25,2,2,1,1
26,2,2,1,1
27,2,2,1,1
28,2,2,1,1
29,2,2,1,1
30,2,2,1,1
31,2,2,1,1
32,2,2,1,1
33,2,2,1,2
34,2,2,1,2
35,2,2,1,2
36,2,2,1,2
37,2,2,2,2
38,2,2,2,2
39,2,2,2,2
40,2,2,2,2
41,2,2,2,3
42,2,2,2,3
43,2,2,2,3
44,2,2,2,3
45,2,2,2,3
46,2,2,2,3
47,2,2,2,3
48,2,2,2,3
49,3,2,1,1
50,3,2,1,1
51,3,2,1,1
52,3,2,1,1
53,3,2,1,1
54,3,2,1,1
55,3,2,1,1
56,3,2,1,1
57,3,2,1,2
58,3,2,1,2
59,3,2,1,2
60,3,2,1,2
61,3,2,2,2
62,3,2,2,2
63,3,2,2,2
64,3,2,2,2
65,3,2,2,3
66,3,2,2,3
67,3,2,2,3
68,3,2,2,3
69,3,2,2,3
70,3,2,2,3
71,3,2,2,3
72,3,2,2,3
73,4,2,1,1
74,4,2,1,1
75,4,2,1,1
76,4,2,1,1
77,4,2,1,1
78,4,2,1,1
79,4,2,1,1
80,4,2,1,1
81,4,2,1,2
82,4,2,1,2
83,4,2,1,2
84,4,2,1,2
85,4,2,2,2
86,4,2,2,2
87,4,2,2,2
88,4,2,2,2
89,4,2,2,3
90,4,2,2,3
91,4,2,2,3
92,4,2,2,3
93,4,2,2,3
94,4,2,2,3
95,4,2,2,3
96,4,2,2,3
97,5,2,1,1
98,5,2,1,1
99,5,2,1,1
100,5,2,1,1
101,5,2,1,1
102,5,2,1,1
103,5,2,1,1
104,5,2,1,1
105,5,2,1,2
106,5,2,1,2
107,5,2,1,2
108,5,2,1,2
109,5,2,2,2
110,5,2,2,2
111,5,2,2,2
112,5,2,2,2
113,5,2,2,3
114,5,2,2,3
115,5,2,2,3
116,5,2,2,3
117,5,2,2,3
118,5,2,2,3
119,5,2,2,3
120,5,2,2,3
121,6,2,1,1
122,6,2,1,1
123,6,2,1,1
124,6,2,1,1
125,6,2,1,1
126,6,2,1,1
127,6,2,1,1
128,6,2,1,1
129,6,2,1,2
130,6,2,1,2
131,6,2,1,2
132,6,2,1,2
133,6,2,2,2
134,6,2,2,2
135,6,2,2,2
136,6,2,2,2
137,6,2,2,3
138,6,2,2,3
139,6,2,2,3
140,6,2,2,3
141,6,2,2,3
142,6,2,2,3
143,6,2,2,3
144,6,2,2,3
145,7,1,1,1
146,7,1,1,1
147,7,1,1,1
148,7,1,1,1
149,7,1,1,1
150,7,1,1,1
151,7,1,1,1
152,7,1,1,1
153,7,1,1,2
154,7,1,1,2
155,7,1,1,2
156,7,1,1,2
157,7,1,2,2
158,7,1,2,2
159,7,1,2,2
160,7,1,2,2
161,7,1,2,3
162,7,1,2,3
163,7,1,2,3
164,7,1,2,3
165,7,1,2,3
166,7,1,2,3
167,7,1,2,3
168,7,1,2,3
