r,pt,steps,FOMCost
1,1,1,61600.0
1,1,2,61600.0
1,1,3,61600.0
1,2,1,5000.0
1,2,2,5000.0
1,2,3,5000.0
1,3,1,6900.0
1,3,2,6900.0
1,3,3,6900.0
1,4,1,12100.0
1,4,2,12100.0
1,4,3,12100.0
1,5,1,5000.0
1,6,1,156200.0
1,7,1,261200.0
1,8,1,150600.0
1,9,1,5000.0
1,10,1,33500.0
1,10,2,33500.0
1,11,1,5000.0
1,12,1,40000.0
1,13,1,154000.0
1,14,1,33100.0
1,15,1,20200.0
1,15,2,5000.0
2,1,1,61600.0
2,1,2,61600.0
2,1,3,61600.0
2,2,1,5000.0
2,2,2,5000.0
2,2,3,5000.0
2,3,1,6900.0
2,3,2,6900.0
2,3,3,6900.0
2,4,1,12100.0
2,4,2,12100.0
2,4,3,12100.0
2,5,1,5000.0
2,6,1,156200.0
2,7,1,261200.0
2,8,1,150600.0
2,9,1,5000.0
2,10,1,33500.0
2,10,2,33500.0
2,11,1,5000.0
2,12,1,40000.0
2,13,1,154000.0
2,14,1,33100.0
2,15,1,20200.0
2,15,2,5000.0
3,1,1,61600.0
3,1,2,61600.0
3,1,3,61600.0
3,2,1,5000.0
3,2,2,5000.0
3,2,3,5000.0
3,3,1,6900.0
3,3,2,6900.0
3,3,3,6900.0
3,4,1,12100.0
3,4,2,12100.0
3,4,3,12100.0
3,5,1,5000.0
3,6,1,156200.0
3,7,1,261200.0
3,8,1,150600.0
3,9,1,5000.0
3,10,1,33500.0
3,10,2,33500.0
3,11,1,5000.0
3,12,1,40000.0
3,13,1,154000.0
3,14,1,33100.0
3,15,1,20200.0
3,15,2,5000.0
4,1,1,61600.0
4,1,2,61600.0
4,1,3,61600.0
4,2,1,5000.0
4,2,2,5000.0
4,2,3,5000.0
4,3,1,6900.0
4,3,2,6900.0
4,3,3,6900.0
4,4,1,12100.0
4,4,2,12100.0
4,4,3,12100.0
4,5,1,5000.0
4,6,1,156200.0
4,7,1,261200.0
4,8,1,150600.0
4,9,1,5000.0
4,10,1,33500.0
4,10,2,33500.0
4,11,1,5000.0
4,12,1,40000.0
4,13,1,154000.0
4,14,1,33100.0
4,15,1,20200.0
4,15,2,5000.0
5,1,1,61600.0
5,1,2,61600.0
5,1,3,61600.0
5,2,1,5000.0
5,2,2,5000.0
5,2,3,5000.0
5,3,1,6900.0
