in.comstock_building_type,equipment_type,enduse_cat
fullservicerestaurant,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
hospital,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
largehotel,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
largeoffice,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
mediumoffice,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
outpatient,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
primaryschool,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
quickservicerestaurant,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
retailstandalone,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
retailstripmall,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
secondaryschool,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
smallhotel,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
smalloffice,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
warehouse,out.electricity.exterior_lighting.energy_consumption.kwh,com_other
fullservicerestaurant,out.electricity.fans.energy_consumption.kwh,com_other
hospital,out.electricity.fans.energy_consumption.kwh,com_other
largehotel,out.electricity.fans.energy_consumption.kwh,com_other
largeoffice,out.electricity.fans.energy_consumption.kwh,com_other
mediumoffice,out.electricity.fans.energy_consumption.kwh,com_other
outpatient,out.electricity.fans.energy_consumption.kwh,com_other
primaryschool,out.electricity.fans.energy_consumption.kwh,com_other
quickservicerestaurant,out.electricity.fans.energy_consumption.kwh,com_other
retailstandalone,out.electricity.fans.energy_consumption.kwh,com_other
retailstripmall,out.electricity.fans.energy_consumption.kwh,com_other
secondaryschool,out.electricity.fans.energy_consumption.kwh,com_other
smallhotel,out.electricity.fans.energy_consumption.kwh,com_other
smalloffice,out.electricity.fans.energy_consumption.kwh,com_other
warehouse,out.electricity.fans.energy_consumption.kwh,com_other
fullservicerestaurant,out.electricity.interior_equipment.energy_consumption.kwh,com_other
hospital,out.electricity.interior_equipment.energy_consumption.kwh,com_other
largehotel,out.electricity.interior_equipment.energy_consumption.kwh,com_other
largeoffice,out.electricity.interior_equipment.energy_consumption.kwh,com_other
mediumoffice,out.electricity.interior_equipment.energy_consumption.kwh,com_other
