in.geometry_building_type_recs,equipment_type,enduse_cat
mobile home,out.electricity.ceiling_fan.energy_consumption.kwh,res_other
mobile home,out.electricity.clothes_washer.energy_consumption.kwh,res_other
mobile home,out.electricity.dishwasher.energy_consumption.kwh,res_other
mobile home,out.electricity.plug_loads.energy_consumption.kwh,res_other
mobile home,out.electricity.pool_heater.energy_consumption.kwh,res_other
mobile home,out.electricity.pool_pump.energy_consumption.kwh,res_other
mobile home,out.electricity.well_pump.energy_consumption.kwh,res_other
mobile home,out.electricity.mech_vent.energy_consumption.kwh,res_other
mobile home,out.electricity.hot_tub_heater.energy_consumption.kwh,res_other
mobile home,out.electricity.hot_tub_pump.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.ceiling_fan.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.clothes_washer.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.dishwasher.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.plug_loads.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.pool_heater.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.pool_pump.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.well_pump.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.mech_vent.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.hot_tub_heater.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.hot_tub_pump.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.ceiling_fan.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.clothes_washer.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.dishwasher.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.plug_loads.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.pool_heater.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.pool_pump.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.well_pump.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.mech_vent.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.hot_tub_heater.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.hot_tub_pump.energy_consumption.kwh,res_other
single-family attached,out.electricity.ceiling_fan.energy_consumption.kwh,res_other
single-family attached,out.electricity.clothes_washer.energy_consumption.kwh,res_other
single-family attached,out.electricity.dishwasher.energy_consumption.kwh,res_other
single-family attached,out.electricity.plug_loads.energy_consumption.kwh,res_other
single-family attached,out.electricity.pool_heater.energy_consumption.kwh,res_other
single-family attached,out.electricity.pool_pump.energy_consumption.kwh,res_other
single-family attached,out.electricity.well_pump.energy_consumption.kwh,res_other
single-family attached,out.electricity.mech_vent.energy_consumption.kwh,res_other
single-family attached,out.electricity.hot_tub_heater.energy_consumption.kwh,res_other
single-family attached,out.electricity.hot_tub_pump.energy_consumption.kwh,res_other
single-family detached,out.electricity.ceiling_fan.energy_consumption.kwh,res_other
single-family detached,out.electricity.clothes_washer.energy_consumption.kwh,res_other
single-family detached,out.electricity.dishwasher.energy_consumption.kwh,res_other
single-family detached,out.electricity.plug_loads.energy_consumption.kwh,res_other
single-family detached,out.electricity.pool_heater.energy_consumption.kwh,res_other
single-family detached,out.electricity.pool_pump.energy_consumption.kwh,res_other
single-family detached,out.electricity.well_pump.energy_consumption.kwh,res_other
single-family detached,out.electricity.mech_vent.energy_consumption.kwh,res_other
single-family detached,out.electricity.hot_tub_heater.energy_consumption.kwh,res_other
single-family detached,out.electricity.hot_tub_pump.energy_consumption.kwh,res_other
mobile home,out.electricity.clothes_dryer.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.clothes_dryer.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.clothes_dryer.energy_consumption.kwh,res_other
single-family attached,out.electricity.clothes_dryer.energy_consumption.kwh,res_other
single-family detached,out.electricity.clothes_dryer.energy_consumption.kwh,res_other
mobile home,out.electricity.range_oven.energy_consumption.kwh,res_other
multi-family with 2 - 4 units,out.electricity.range_oven.energy_consumption.kwh,res_other
multi-family with 5plus units,out.electricity.range_oven.energy_consumption.kwh,res_other
single-family attached,out.electricity.range_oven.energy_consumption.kwh,res_other
single-family detached,out.electricity.range_oven.energy_consumption.kwh,res_other
mobile home,out.electricity.cooling.energy_consumption.kwh,res_cooling
mobile home,out.electricity.cooling_fans_pumps.energy_consumption.kwh,res_cooling
multi-family with 2 - 4 units,out.electricity.cooling.energy_consumption.kwh,res_cooling
multi-family with 2 - 4 units,out.electricity.cooling_fans_pumps.energy_consumption.kwh,res_cooling
multi-family with 5plus units,out.electricity.cooling.energy_consumption.kwh,res_cooling
